anio,mineral,etapa,valor_total_usd,destino_principal,share_principal,share_china,share_eua,n_destinos
1999,fluorita,E2 Fluoroquimica,104828957.0,Estados Unidos,0.7945,0.0,0.7945,11
1999,grafito,E1 Grafito natural,2027221.0,Estados Unidos,0.981,0.0,0.981,4
1999,grafito,E2 Grafito artificial/prep.,10503553.0,Suiza,0.7241,0.0,0.1997,15
1999,grafito,E3 Electrodos/articulos de carbono,53012949.0,Suiza,0.4924,0.0,0.2278,21
1999,manganeso,E1 Mena/concentrado,4223878.0,Estados Unidos,0.4723,0.0,0.4723,18
1999,manganeso,E2 Ferroaleaciones,40979924.0,Estados Unidos,0.9063,0.0,0.9063,12
1999,manganeso,E3 Quimicos/metal,1447625.0,Espana,0.6286,0.0,0.0463,9
1999,oro,E1 Mena/concentrado,11399621.0,Reino Unido,0.4122,0.0,0.0,5
1999,oro,E2 Bruto/semilabrado,91457362.0,Estados Unidos,0.6065,0.0,0.6065,6
1999,oro-plata (manufacturas),E4 Joyeria/orfebreria,364566620.0,Estados Unidos,0.9599,0.0,0.9599,69
1999,plata,E1 Mena/concentrado,69904.0,Estados Unidos,1.0,0.0,1.0,1
1999,plata,E2 Bruto/semilabrado,398687564.0,Estados Unidos,0.6662,0.0,0.6662,21
1999,plomo,E1 Mena/concentrado,19056014.0,Estados Unidos,0.3694,0.0145,0.3694,5
1999,plomo,E2 Metal en bruto/refinado,14698477.0,Estados Unidos,0.8917,0.0,0.8917,11
1999,plomo,E3 Semimanufacturas,2765085.0,Belgica,0.9882,0.0,0.0036,6
1999,plomo,E4 Manufacturas,1465745.0,Estados Unidos,0.9405,0.0,0.9405,11
1999,silice,E1 Arena silica/cuarzo,895176.0,Estados Unidos,0.9186,0.0,0.9186,8
1999,silice,E2 Silicio/ferrosilicio/SiO2,5948237.0,Estados Unidos,0.3843,0.0,0.3843,22
1999,zinc,E1 Mena/concentrado,75143565.0,Suiza,0.3603,0.0,0.2169,11
1999,zinc,E2 Metal en bruto/refinado,91230556.0,Estados Unidos,0.7159,0.0,0.7159,14
1999,zinc,E3 Semimanufacturas,41965875.0,Estados Unidos,0.9877,0.0,0.9877,11
1999,zinc,E4 Manufacturas,4639034.0,Estados Unidos,0.9742,0.0027,0.9742,9
2000,barita,E1 Crudo/molido,767826.0,Estados Unidos,0.593,0.0,0.593,3
